Year,Average_Tuition_South
2009,20009.041144004015
2010,20947.85425898572
2011,21789.831503579953
2012,22221.488394126005
2013,22834.47316384181
2014,23185.363325183374
2015,23673.928427419356
2016,23742.022900763357
2017,24161.465324384786
2018,24560.221828908554
2019,25061.224538415725
2020,25668.428920073216
2021,25725.102078239608
2022,26663.85880195599
