Year,Average_Tuition_North
2009,23353.45948771563
2010,24241.594778067883
2011,25266.20976863753
2012,26043.185572399372
2013,26714.961093585698
2014,27385.122863247863
2015,28084.295666483817
2016,28788.963028169015
2017,29488.08804283165
2018,30217.285626535628
2019,31032.852417302798
2020,31767.95541401274
2021,31885.059653624117
2022,32890.78703115067
